name,nationality,first hired,1901 primary rank,1901 date promoted to primary,1901 secondary job,1901 date promoted to secondary,1901 other details,1901 location/last port,1901 on leave?,1906 primary rank,1906 date promoted to primary,1906 secondary job,1906 date promoted to secondary,1906 other details,1906 location/last port,1906 on leave?
E. B. Drew,American,1865 October,Commissioner,1868 October,,,,Tientsin,Shanghai Unattached List,,,,,,,
G. Detring,German,1865 April,Commissioner,1872 March,,,,Tientsin,,,,,,,,
James H. Hart,British,1867 August,Commissioner,1872 October,,,formerly at Inspectorate General (detached),Peking,Shanghai Unattached List,,,,,,,
J. D. Campbell,British,1863 April,Commissioner,1872 November,,,,London,,,,,,,,
H. E. Hobson,British,1862 May,Commissioner,1873 April,,,,Shanghai,,,,,,,,
A. Novion,French,1863 January,Commissioner,1875 April,,,,Wenchow,Shanghai Unattached List,,,,,,,
J. McLeavy Brown,British,1870 April,Commissioner,1877 February,,,,Detached,,,,,,,,
C. L. Simpson,British,1861 May,Commissioner,1877 October,,,,Amoy,,,,,,,,
W. T. Lay,British,1862 October,Commissioner,1877 October,,,,Foochow,,,,,,,,
R. B. Moorhead,British,1868 July,Commissioner,1877 October,,,,Kowloon,,,,,,,,
E. Faragó,Hungarian,1873 November,Commissioner,1881 March,,,,Chinkiang,,,,,,,,
A. E. Hippisley,British,1867 October,Commissioner,1882 April,,,,Hankow,,,,,,,,
H. Edgar,British,1868 August,Commissioner,1883 April,,,,Shasi,,,,,,,,
T. F. Hughes,British,1865 March,Commissioner,1885 June,,,,Kiukiang,,,,,,,,
H. F. Merrill,American,1874 September,Commissioner,1887 January,,,,Wuhu,,,,,,,,
F. A. Morgan,British,1864 July,Commissioner,1887 March,,,,Canton,,,,,,,,
E. Ohlmer,German,1868 May,Commissioner,1887 July,,,,Kiaochow,,Commissioner,1887 July,,,,Kiaochow,
F. A. Carl,American,1881 December,Commissioner,1889 April,,,,Lappa,,,,,,,,
Ls. Rocher,French,1869 October,Commissioner,1889 June,,,,Shanghai,Shanghai Unattached List,,,,,,,
J. F. Schœnicke,German,1869 November,Commissioner,1889 October,,,,Shanghai,Shanghai Unattached List,,,,,,,
F. E. Taylor,British,1877 January,Commissioner,1894 May,,,,Shanghai,,,,,,,,
J. W. Carrall,British,1868 August,Commissioner,1896 April,,,,Chefoo,,,,,,,,
A. T. Piry,French,1874 April,Commissioner,1896 April,,,,Peking,,,,,,,,
F. Schjöth,Norwegian,1868 March,Commissioner,1896 April,,,,Ningpo,,,,,,,,
H. M. Hillier,British,1872 August,Commissioner,1896 April,,,,Shanghai,,,,,,,,
W. F. Spinney,American,1874 August,Commissioner,1896 June,,,,Mengtsz,Canton Unattached List,,,,,,,
H. B. Morse,American,1874 August,Commissioner,1896 June,,,,Hankow,Shanghai Unattached List,,,,,,,
F. S. Unwin,British,1868 September,Commissioner,1897 February,,,,Ichang,,,,,,,,
W. N. Morehouse,American,1868 April,Commissioner,1897 February,,,,Amoy,Canton Unattached List,,,,,,,
S. Campbell,British,1872 August,Commissioner,1897 May,,,,Swatow,,,,,,,,
F. A. Aglen,British,1888 December,Commissioner,1897 November,,,,Nanking,,,,,,,,
P. H. S. Montgomery,British,1876 July,Commissioner,1898 April,,,,Yatung,Canton Unattached List,,,,,,,
J. A. van Aalst,Belgian,1881 March,Commissioner,1899 January,,,,Shanghai,,,,,,,,
P. von Tanner,Russian,1881 September,Commissioner,1899 January,,,,Foochow,Canton Unattached List,,,,,,,
C. C. Clarke,American,1874 August,Commissioner,1899 March,,,,Soochow,,,,,,,,
J. R. Brazier,British,1878 April,Commissioner,1899 March,,,"Inspectorate General, Shanghai",Shanghai,Shanghai Unattached List,,,,,,,
J. Neumann,German,1878 January,Commissioner,1899 March,,,,Kiungchow,Canton Unattached List,,,,,,,
J. H. Hunt,British,1875 August,Commissioner,1900 April,,,,Hankow,Shanghai Unattached List,,,,,,,
P. H. King,British,1874 January,Commissioner,1900 April,,,,Pakhoi,,,,,,,,
J. F. Oiesen,Danish,1877 July,Commissioner,1900 May,,,,Detached,Shanghai Unattached List,,,,,,,
A. Lay,British,1867 April,Deputy Commissioner,1893 October,Acting Commissioner,1900 April,,Wenchow,,,,,,,,
W. McC. Osborne,British,1882 September,Deputy Commissioner,1896 February,ActCom or AsstInCharge,,,Detached,,,,,,,,
T. E. Cocker,British,1869 June,Deputy Commissioner,1897 April,,,,Kowloon,,,,,,,,
E. V. Brenan,British,1871 April,Deputy Commissioner,1897 June,ActCom or AsstInCharge,,,Kowloon,Canton Unattached List,,,,,,,
J. C. Johnston,British,1877 July,Deputy Commissioner,1898 April,ActCom or AsstInCharge,,,Shanghai,Shanghai Unattached List,,,,,,,
F. J. Smith,British,1876 June,Deputy Commissioner,1898 May,,,,Amoy,,,,,,,,
C. H. Brewitt-Taylor,British,1891 November,Deputy Commissioner,1899 January,,,,Swatow,Canton Unattached List,,,,,,,
E. L. Lépissier,French,1869 November,Deputy Commissioner,1899 March,,,"Inspectorate General, Shanghai",Shanghai,Shanghai Unattached List,,,,,,,
F. W. Maze,British,1891 December,Deputy Commissioner,1899 March,,,,Foochow,,,,,,,,
P. B. von Rautenfeld,Russian,1893 October,Deputy Commissioner,1899 March,,,,Foochow,Canton Unattached List,,,,,,,
J. Acheson,British,1874 July,Deputy Commissioner,1900 April,Acting Commissioner,1901 May,,Kiungchow,,,,,,,,
E. Bruce Hart,British,1894 November,Deputy Commissioner,1901 April,,,,London,,,,,,,,
J. L. Chalmers,British,1873 October,Deputy Commissioner,1901 April,,,,Detached,,,,,,,,
E. H. Grimani,British,1872 November,Deputy Commissioner,1898 April,,,extra-Likin,Kiukiang,,,,,,,,
G. F. Montgomery,British,1880 July,Deputy Commissioner,1898 April,Deputy Commissioner-in-Charge (temporarily),1899 April,extra-Likin,Hangchow,,,,,,,,
H. E. Wolf,German,1888 April,Deputy Commissioner,1898 April,,,extra-Likin,Wuhu,,,,,,,,
R. de Luca,Italian,1888 January,Deputy Commissioner,1898 April,,,extra-Likin,Hankow,,,,,,,,
W. R. M'D. Parr,British,1887 September,Deputy Commissioner,1898 April,,,extra-Likin,Ichang,Shanghai Unattached List,,,,,,,
F. J. Mayers,British,1889 June,Deputy Commissioner,1898 April,,,extra-Likin,Soochow,Shanghai Unattached List,,,,,,,
W. Hancock,British,1874 July,"First Assistant, A",1898 May,Acting Commissioner,1900 July,,Chungking,,,,,,,,
J. H. Macoun,British,1888 May,"First Assistant, B",1900 August,Acting Commissioner,1900 April,"Acting Audit Secretary, I.G.",Shanghai,,,,,,,,
C. A. V. Bowra,British,1866 October,"Second Assistant, A",1900 October,Assistant-in-Charge,1899 June,,Newchwang,,,,,,,,
F. W. Carey,British,1892 June,"Third Assistant, B",1899 December,Assistant-in-Charge,1899 October,,Szemao,,,,,,,,
E. Alabaster,British,1889 June,"Third Assistant, A",1899 December,Assistant-in-Charge,1900 February,,Samshui,,,,,,,,
P. C. Hansson,Norwegian,1894 November,"Third Assistant, B",1901 April,Assistant-in-Charge,1900 May,,Yochow,,,,,,,,
A. H. Harris,British,1883 July,"First Assistant, B",1901 April,Assistant-in-Charge,1900 June,formerly AsstInCharge at Wuchow,Ningpo,,,,,,,,
V. C. Henderson,British,1899 January,"Fourth Assistant, B",1899 January,Assistant-in-Charge,1900 October,,Yatung,,,,,,,,
O. Tiberii,Italian,1881 November,"Second Assistant, A",1899 May,Assistant-in-Charge,1900 December,,Mengtsz,,,,,,,,
J. H. Fougerat,French,1880 August,"Second Assistant, A",1897 February,Assistant-in-Charge,1901 April,,Lungchow,,,,,,,,
P. R. Walsham,British,1894 May,"Third Assistant, A",1899 July,Assistant-in-Charge,1901 June,,Kiukiang,,,,,,,,
A. Nielsen,Norwegian,1888 February,Acting Deputy Commissioner,1899 April,Detached from 3º. Coast,,,Canton,,,,,,,,
E. G. Lowder,British,1882 September,"First Assistant, B",1899 April,Acting Deputy Commissioner,1899 July,"Acting Assistant Secretary, I.G.",Shanghai,,,,,,,,
E. T. Pym,British,1882 September,"Second Assistant, A",1900 March,Acting Deputy Commissioner,1900 March,,Hankow,,,,,,,,
W. C. H. Watson,British,1887 July,"Second Assistant, B",1900 March,Acting Deputy Commissioner,1900 March,extra-Likin,Ichang,,,,,,,,
G. T. Moule,British,1889 February,"Second Assistant, B",1900 March,Acting Deputy Commissioner,1900 March,extra-Likin,Soochow,,,,,,,,
W. G. Lay,British,1880 November,"First Assistant, A",1900 February,Acting Deputy Commissioner,1900 April,,Shanghai,,,,,,,,
A. H. Sugden,British,1883 July,"Second Assistant, B",1898 July,Acting Deputy Commissioner,1900 April,,Canton,,,,,,,,
A. G. D. Granzella,Italian,1886 November,"Second Assistant, A",1899 January,Acting Deputy Commissioner,1900 June,"Acting Assistant Secretary, I.G.",Peking,,,,,,,,
N. A. Konovaloff,Russian,1897 January,"Third Assistant, B",1900 August,Acting Deputy Commissioner,1900 August,"Acting Private Secretary and Accountant, I.G. since 1900 August",Peking,,,,,,,,
A. H. Wilzer,German,1887 March,"Second Assistant, A",1899 January,Acting Deputy Commissioner,1900 October,"Acting Assistant Chinese Secretary, I.G.",Shanghai,,,,,,,,
E. A. W. von Strauch,German,1899 November,"Third Assistant, A",1900 August,Acting Deputy Commissioner,1900 November,"Acting Assistant Chinese Secretary, I.G.",Peking,,,,,,,,
J. W. H. Ferguson,Dutch,1898 September,"Fourth Assistant, A",1900 August,Acting Deputy Commissioner,1900 November,"Acting Assistant Postal Secretary, I.G.",Peking,,,,,,,,
H. J. von Brockdorff,German,1877 July,"First Assistant, B",1899 April,Acting Deputy Commissioner,1901 April,"Out-door, Bonding, and Returns.",Shanghai,,"Chief Assistant, B",1903 January,,,,Kiaochow,
F. N. May,British,1859 October,Chief Assistant,1893 January,,,,Shanghai,Shanghai Unattached List,,,,,,,
J. W. Innocent,British,1877 July,"First Assistant, A",1898 July,,,,Swatow,Canton Unattached List,,,,,,,
J. L. Rémusat,French,1877 July,"First Assistant, A",1898 July,,,,Chefoo,,,,,,,,
P. M. G. de Galembert,French,1878 October,"First Assistant, A",1898 July,,,,Foochow,Canton Unattached List,,,,,,,
S. J. Hanisch,German,1876 August,"First Assistant, A",1898 July,,,,Wuchow,Canton Unattached List,,,,,,,
C. A. Pennington,British,1876 April,"First Assistant, A",1899 April,,,,Swatow,Canton Unattached List,,,,,,,
T. A. W. Hance,British,1876 April,"First Assistant, B",1898 July,,,,Canton,,,,,,,,
F. Clayson,British,1879 October,"First Assistant, B",1898 July,,,,Shanghai,,,,,,,,
R. de Nully,French,1879 July,"First Assistant, B",1898 July,,,,Shanghai,,,,,,,,
C. T. Bowring,British,1883 July,"First Assistant, B",1898 July,,,,Shanghai,,,,,,,,
A. S. Deane,British,1880 January,"First Assistant, B",1900 February,,,And Medical Officer,Pakhoi,Canton Unattached List,,,,,,,
J. Mencarini,Spanish,1881 January,"First Assistant, B",1901 April,,,,Hankow,,,,,,,,
C. E. Tanant,French,1887 July,"First Assistant, B",1901 April,,,,Lungchow,Canton Unattached List,,,,,,,
A. Duncan,British,1876 October,"Second Assistant, A",1896 July,,,,Shanghai,,,,,,,,
J. H. M. Moorhead,British,1882 April,"Second Assistant, A",1898 July,,,,Chinkiang,Shanghai Unattached List,,,,,,,
P. J. Grevedon,French,1886 October,"Second Assistant, A",1898 July,,,,Chefoo,Shanghai Unattached List,,,,,,,
A. Henry,British,1881 July,"Second Assistant, A",1898 July,,,,Mengtsz,Canton Unattached List,,,,,,,
N. E. Bryant,American,1881 June,"Second Assistant, A",1898 July,,,,Chefoo,Shanghai Unattached List,,,,,,,
H. W. Brazier,British,1881 April,"Second Assistant, A",1898 July,,,,Kowloon,Canton Unattached List,,,,,,,
E. K. A. Ruhstrat,German,1881 November,"Second Assistant, A",1899 May,,,,Amoy,,,,,,,,
J. D. D. de la Touche,British,1882 September,"Second Assistant, A",1900 April,,,,Chinkiang,,,,,,,,
T. D. Moorhead,British,1883 January,"Second Assistant, A",1900 July,,,,Chungking,Shanghai Unattached List,,,,,,,
J. I. M. Drummond,British,1887 June,"Second Assistant, A",1900 December,,,,Tientsin,,,,,,,,
E. Laporte,French,1883 April,"Second Assistant, B",1898 January,,,,Detached,,,,,,,,
V. E. J. Dent,British,1882 April,"Second Assistant, B",1898 June,,,,Shanghai,,,,,,,,
T. T. H. Ferguson,Dutch,1888 October,"Second Assistant, B",1898 July,,,,Soochow,,,,,,,,
L. A. Lyall,British,1886 October,"Second Assistant, B",1898 July,,,,Shanghai,Shanghai Unattached List,,,,,,,
J. H. Lowry,British,1881 July,"Second Assistant, B",1899 January,Surgeon,,And Medical Officer,Kiungchow,,,,,,,,
R. A. Currie,British,1886 October,"Second Assistant, B",1899 January,,,,Wuhu,Shanghai Unattached List,,,,,,,
H. E. Wadman,British,1881 April,"Second Assistant, B",1899 April,,,,Shanghai,,,,,,,,
G. F. H. Acheson,British,1888 June,"Second Assistant, B",1899 April,,,,Shanghai,,,,,,,,
O. G. Ready,British,1887 December,"Second Assistant, B",1889 December,,,,Lappa,,,,,,,,
H. M. W. Grundmann,German,1886 December,"Second Assistant, B",1900 March,,,,Shanghai,,,,,,,,
K. H. von Lindholm,Danish,1888 September,"Second Assistant, B",1900 March,,,,Soochow,,,,,,,,
E. O. Reis,German,1886 October,"Second Assistant, B",1900 March,,,,Kiaochow,,,,,,,,
A. W. Cross,British,1887 July,"Second Assistant, B",1900 March,,,,Yochow,Shanghai Unattached List,,,,,,,
J. W. Richardson,British,1888 September,"Second Assistant, B",1900 August,,,"Chief Accountant, I.G.",Shanghai,,,,,,,,
C. Kliene,Danish,1884 March,"Second Assistant, B",1900 December,,,,Tientsin,,,,,,,,
D. Percebois,French,1876 October,"Second Assistant, B",1901 April,,,,Shanghai,,,,,,,,
H. M. Maze,British,1888 May,"Third Assistant, A",1897 October,,,,Amoy,,,,,,,,
C. E. S. Wakefield,British,1886 October,"Third Assistant, A",1898 January,,,,Detached,,,,,,,,
A. M. de Souza,Portuguese,1887 April,"Third Assistant, A",1898 January,,,,Kowloon,,,,,,,,
J. W. Loureiro,Portuguese,1888 April,"Third Assistant, A",1898 January,,,,Ningpo,Shanghai Unattached List,,,,,,,
W. M. Andrew,British,1887 October,"Third Assistant, A",1898 January,,,,Swatow,,,,,,,,
A. J. E. Allen,British,1889 June,"Third Assistant, A",1898 June,,,,London,,,,,,,,
J. W. N. Munthe,Norwegian,1887 September,"Third Assistant, A",1898 June,,,,Tientsin,Shanghai Unattached List,,,,,,,
C. E. Holworthy,British,1888 March,"Third Assistant, A",1898 July,,,,Shanghai,,,,,,,,
J. B. FitzGibbon,British,1888 May,"Third Assistant, A",1898 July,,,,Shanghai,Shanghai Unattached List,,,,,,,
W. MacDonald,British,1892 October,"Third Assistant, A",1898 December,,,,Hangchow,Shanghai Unattached List,,,,,,,
J. H. P. Perry,British,1891 December,"Third Assistant, A",1899 July,,,,Soochow,Shanghai Unattached List,,,,,,,
R. H. R. Wade,British,1899 June,"Third Assistant, A",1899 December,,,,Shanghai,,,,,,,,
A. Michie,British,1890 September,"Third Assistant, A",1900 May,,,,Canton,,,,,,,,
I. Sugi,Japanese,1898 March,"Third Assistant, A",1900 August,,,"Inspectorate General, Peking",Peking,Shanghai Unattached List,,,,,,,
A. Schmidt,German,1883 April,"Third Assistant, A",1900 October,,,,Newchwang,,,,,,,,
A. Berthet,French,1887 March,"Third Assistant, B",1896 April,,,,Shanghai,,,,,,,,
A. G. H. Carruthers,British,1889 June,"Third Assistant, B",1897 January,,,,Shanghai,,,,,,,,
C. Thorne,British,1889 June,"Third Assistant, B",1897 January,,,,Tientsin,,,,,,,,
E. Gilchrist,American,1890 October,"Third Assistant, B",1897 February,,,,Newchwang,,,,,,,,
E. K. Bull,Norwegian,1888 May,"Third Assistant, B",1897 May,,,,Canton,,,,,,,,
E. H. de Ste Croix,British,1891 October,"Third Assistant, B",1897 June ,,,,Shanghai,,,,,,,,
E. S. Sutton,British,1892 March,"Third Assistant, B",1897 June ,,,,Canton,,,,,,,,
H. F. V. Oldham,British,1892 December,"Third Assistant, B",1898 January,,,,Canton Unattached List,,,,,,,,
A. M. J. Porter,British,1892 December,"Third Assistant, B",1898 May,,,,Canton,Kowloon,Canton Unattached List,,,,,,
C. T. Münter,Danish,1888 April,"Third Assistant, B",1898 October,,,,Wuhu,,,,,,,,
W. Kirk,British,1889 December,"Third Assistant, B",1899 January,Surgeon,,,Ichang,,,,,,,,
C. A. McAllum,British,1891 January,"Third Assistant, B",1899 February,,,,Foochow,,,,,,,,
C. W. de Bérigny,British,1892 June,"Third Assistant, B",1899 December,,,,Szemao,,,,,,,,
R. C. Guernier,French,1896 April,"Third Assistant, B",1899 December,,,,Tientsin,,,,,,,,
R. F. Wrench,British,1896 July,"Third Assistant, B",1899 December,,,,Shanghai,,,,,,,,
H. P. Destelan,French,1896 November,"Third Assistant, B",1900 August,,,,Shanghai,Shanghai Unattached List,,,,,,,
U. F. Wintour,British,1898 May,"Third Assistant, B",1900 August,,,,Kowloon,,,,,,,,
A. Scagliotti,Italian,1882 May,"Third Assistant, B",1901 April,,,,Shanghai,Shanghai Unattached List,,,,,,,
W. K. Roberts,American,1889 April,"Third Assistant, B",1901 April,,,,Hankow,,,,,,,,
W. C. G. Howard,British,1892 September,"Fourth Assistant, A",1897 February,,,,Wuchow,,,,,,,,
J. R. Putnam,American,1896 February,"Fourth Assistant, A",1898 May,,,,Shanghai,,,,,,,,
A. J. Basto,Portuguese,1896 April,"Fourth Assistant, A",1898 May,,,,Mengtsz,,,,,,,,
F. H. Bell,British,1896 April,"Fourth Assistant, A",1898 May,,,,Canton,,,,,,,,
G. Bocher,French,1894 September,"Fourth Assistant, A",1898 May,,,,Amoy,,,,,,,,
C. T. Brandt,German,1896 May,"Fourth Assistant, A",1898 May,,,,Kiaochow,,,,,,,,
J. Nolasco da Silva,Portuguese,1896 June,"Fourth Assistant, A",1898 May,,,,Lungchow,,,,,,,,
R. C. L. d'Anjou,French,1896 July,"Fourth Assistant, A",1898 May,,,,Chefoo,,,,,,,,
G. A. Heron,British,1896 September,"Fourth Assistant, A",1898 May,,,,London,,,,,,,,
F. L. Ahrendts,Norwegian,1888 May,"Fourth Assistant, A",1898 May,,,,Shanghai,Shanghai Unattached List,,,,,,,
F. Hussey-Freke,British,1896 November,"Fourth Assistant, A",1898 May,,,,Swatow,,,,,,,,
A. F. Schepens,Belgian,1887 December,"Fourth Assistant, A",1898 May,,,,Shanghai,,,,,,,,
J. H. W. Houstoun,British,1891 March,"Fourth Assistant, A",1898 May,,,,Hangchow,,,,,,,,
C. Pape,German,1881 September,"Fourth Assistant, A",1898 May,,,,Hangchow,,,,,,,,
H. J. Sharples,British,1888 May,"Fourth Assistant, A",1898 May,,,,Hankow,Shanghai Unattached List,,,,,,,
K. T. F. F. Tochtermann,German,1897 November,"Fourth Assistant, A",1900 February,,,,Chungking,,,,,,,,
E. G. Lebas,French,1897 August,"Fourth Assistant, A",1900 June,,,,Shanghai,,,,,,,,
H. M. A. Bismarck,German,1897 June,"Fourth Assistant, A",1900 August,,,,Ningpo,,,,,,,,
J. H. Smyth,British,1898 September,"Fourth Assistant, A",1900 August,,,,Kowloon,,,,,,,,
L. Sandercock,British,1898 October,"Fourth Assistant, A",1900 August,,,,Shanghai,,,,,,,,
A. G. Bethell,British,1898 October,"Fourth Assistant, A",1900 August,,,Inspectorate General.,Shanghai,Shanghai Unattached List,,,,,,,
L. de Luca,Italian,1898 October,"Fourth Assistant, A",1900 August,,,,Chinkiang,,,,,,,,
C. H. Lauru,French,1898 November,"Fourth Assistant, A",1900 August,,,,Shanghai,,,,,,,,
W. S. Dupree,British,1898 February,"Fourth Assistant, A",1900 August,,,"Inspectorate General, Peking",Peking,Shanghai Unattached List,,,,,,,
C. F. Johnston,British,1898 February,"Fourth Assistant, A",1900 December,,,,Shanghai,,,,,,,,
E. von Zach,Austrian,1897 November,"Fourth Assistant, A",1901 January,,,,Peking,,,,,,,,
P. P. P. M. Kremer,French,1897 January,"Fourth Assistant, A",1901 April,,,,Chungking,,,,,,,,
A. J. Commÿs,Dutch,1897 August,"Fourth Assistant, A",1901 April,,,,Nanking,,,,,,,,
J. M. C. Rousse,French,1891 November,"Fourth Assistant, A",1901 April,,,,Szemao,,,,,,,,
D. Pegorini,Italian,1891 November,"Fourth Assistant, A",1901 April,,,,Detached,,,,,,,,
P. Zazersky,Russian,1891 November,"Fourth Assistant, A",1901 April,,,Detached for duty in Educational Department.,Canton,,,,,,,,
R. T. Nelson,British,1896 December,"Fourth Assistant, B",1896 December,,,,Shanghai,,,,,,,,
F. G. H. M. Akermann,French,1897 January,"Fourth Assistant, B",1897 January,,,,Ningpo,,,,,,,,
R. A. May,British,1897 January,"Fourth Assistant, B",1897 January,,,,Hankow,,,,,,,,
F. R. C. Surplice,British,1892 May,"Fourth Assistant, B",1897 April,,,,Kowloon,,,,,,,,
H. L. Russell,British,1897 May,"Fourth Assistant, B",1897 May,,,,Amoy,,,,,,,,
L. V. Chute,British,1897 May,"Fourth Assistant, B",1897 May,,,,Swatow,,,,,,,,
W. R. Clouth,German,1897 June,"Fourth Assistant, B",1897 June,,,,Kiaochow,,,,,,,,
A. E. Blanco,Spanish,1897 August,"Fourth Assistant, B",1897 August,,,,Hangchow,,,,,,,,
H. M. A. de Kergariou,French,1897 October,"Fourth Assistant, B",1897 October,,,,Swatow,,,,,,,,
W. H. C. Weippert,British,1897 October,"Fourth Assistant, B",1897 October,,,,Shanghai,,,,,,,,
A. P. A. Bouïnais,French,1898 February,"Fourth Assistant, B",1898 February,,,,Kiukiang,,,,,,,,
C. Munch-Naur,Norwegian,1898 April,"Fourth Assistant, B",1898 April,,,,Foochow,,,,,,,,
K. E. G. Hemeling,German,1898 April,"Fourth Assistant, B",1898 April,,,,Nanking,,,,,,,,
R. F. C. Hedgeland,British,1898 May ,"Fourth Assistant, B",1898 May,,,,Nanking,,,,,,,,
T. A. M. Castle,British,1898 May,"Fourth Assistant, B",1898 May,,,,Yochow,,,,,,,,
W. F. Douglas-Irvine,British,1898 June,"Fourth Assistant, B",1898 June,,,,Samshui,,,,,,,,
F. W. Lyons,British,1898 June,"Fourth Assistant, B",1898 June,,,,Shanghai,,,,,,,,
A. L. M. C. Pichon,French,1898 June,"Fourth Assistant, B",1898 June,,,,Chinkiang,,,,,,,,
B. D. Bruce,British,1898 June,"Fourth Assistant, B",1898 June,,,extra-Likin,Wuhu,,,,,,,,
A. J. da S. Basto,Portuguese,1898 June,"Fourth Assistant, B",1898 June,,,,Lappa,,,,,,,,
N. H. Scheregardus,Dutch,1898 June,"Fourth Assistant, B",1898 June,,,Detached for duty at Inspectorate General.,Shanghai,,,,,,,,
M. F. Hey,Austrian,1898 June,"Fourth Assistant, B",1898 June,,,,Tientsin,,,,,,,,
F. Materna,Austrian,1898 June,"Fourth Assistant, B",1898 June,,,,Pakhoi,,,,,,,,
A. Wilson,British,1898 July,"Fourth Assistant, B",1898 July,,,,Mengtsz,,,,,,,,
C. S. Napier,British,1898 September,"Fourth Assistant, B",1898 September,,,,Nanking,,,,,,,,
F. L. Bessell,British,1898 October,"Fourth Assistant, B",1898 October,,,,Shasi,,,,,,,,
H. Menze,German,1898 November,"Fourth Assistant, B",1898 November,,,,Ichang,,,,,,,,
H. Staeger,Russian,1898 December,"Fourth Assistant, B",1898 December,,,,Tientsin,,,,,,,,
H. de Ponthière,Belgian,1898 December,"Fourth Assistant, B",1898 December,,,,Wuhu,,,,,,,,
J. H. Berruyer,French,1899 January,"Fourth Assistant, B",1899 January,,,,Hankow,,,,,,,,
H. D. O'Kelly,French,1899 January,"Fourth Assistant, B",1899 January,,,,Shanghai,,,,,,,,
C. L. Simpson (Jr?),British,1899 January,"Fourth Assistant, B",1899 January,,,,Amoy,,,,,,,,
A. M. J. Keble,British,1899 February,"Fourth Assistant, B",1899 February,,,,Nanking,,,,,,,,
H. M. Allen,British,1899 February,"Fourth Assistant, B",1899 February,,,,Shanghai,,,,,,,,
R. L. Warren,British,1899 February,"Fourth Assistant, B",1899 February,,,,Nanking,,,,,,,,
W. O. M. Lang,British,1899 February,"Fourth Assistant, B",1899 February,,,,Swatow,,,,,,,,
C. O. M. Diehr,German,1899 November,"Fourth Assistant, B",1900 August,,,,Chefoo,,,,,,,,
P. M. Skene-Knox,German,1898 December,"Fourth Assistant, B",1901 January,,,,Foochow,,,,,,,,
G. C. F. Holland,British,1899 March,"Fourth Assistant, B",1899 March,,,,Shanghai,,,,,,,,
E. B. Howell,British,1899 March,"Fourth Assistant, B",1899 March,,,,Nanking,,,,,,,,
J. W. Stephenson-Jellie,British,1899 March,"Fourth Assistant, B",1899 March,,,,Shanghai,,,,,,,,
B. Ryan,British,1899 March,"Fourth Assistant, B",1899 March,,,,Kiungchow,,,,,,,,
B. D. Tisdall,British,1899 March,"Fourth Assistant, B",1899 March,,,,Hankow,,,,,,,,
H. E. E. Noel,French,1899 May,"Fourth Assistant, B",1899 May,,,,Mengtsz,,,,,,,,
L. Siebold,German,1899 May,"Fourth Assistant, B",1899 May,,,,Kiukiang,,,,,,,,
N. W. Falk,Russian,1899 May,"Fourth Assistant, B",1899 May,,,,Hankow,,,,,,,,
A. Maltchenko,Russian,1899 May,"Fourth Assistant, B",1899 May,,,Detached for Native Customs,Newchwang,,,,,,,,
A. Zemliansky,Russian,1899 May,"Fourth Assistant, B",1899 May,,,,Shanghai,,,,,,,,
P. E. Huber,French,1899 June,"Fourth Assistant, B",1899 June,,,,Nanking,,,,,,,,
R. Kurosawa,Japanese,1899 July,"Fourth Assistant, B",1899 July,,,,Amoy,,,,,,,,
H. Otaki,Japanese,1899 September,"Fourth Assistant, B",1899 September,,,,Hankow,,,,,,,,
T. Ebara,Japanese,1899 September,"Fourth Assistant, B",1899 September,,,,Foochow,,,,,,,,
H. van Bergen,Belgian,1899 October,"Fourth Assistant, B",1899 October,,,,Shanghai,,,,,,,,
J. de W. Jansen,American,1899 October,"Fourth Assistant, B",1899 October,,,Inspectorate General.,Shanghai,,,,,,,,
M. Tachibana,Japanese,1900 February,"Fourth Assistant, B",1900 February,,,,Shanghai,,,,,,,,
L. M. J. Cardot,French,1900 February,"Fourth Assistant, B",1900 February,,,,Canton,,,,,,,,
B. Arata,Japanese,1900 April,"Fourth Assistant, B",1900 April,,,,Newchwang,,,,,,,,
C. A. R. Cabral,Portuguese,1900 May,"Fourth Assistant, B",1900 May,,,,Lappa,,,,,,,,
C. Praschma,German,1900 May,"Fourth Assistant, B",1900 May,,,,Nanking,,,,,,,,
D. Brown,British,1900 August,"Fourth Assistant, B",1900 August,Surgeon,,And Medical Officer,Wuhu,,,,,,,,
S. F. Denby,American,1900 October,"Fourth Assistant, B",1900 October,,,,Peking,,,,,,,,
L. S. Palen,American,1900 October,"Fourth Assistant, B",1900 October,,,,Nanking,,,,,,,,
J. H. Wilson,American,1900 October,"Fourth Assistant, B",1900 October,,,,Shanghai,,,,,,,,
J. Orloff,Russian,1901 March,"Fourth Assistant, B",1901 March,,,,Canton,,,,,,,,
J. Steinberg,Russian,1901 March,"Fourth Assistant, B",1901 March,,,,Chefoo,,,,,,,,
G. Thiessen,Russian,1901 March,"Fourth Assistant, B",1901 March,,,,Nanking,,,,,,,,
T. S. Southey,British,1871 April,Clerk,1878 April,,,"Detached for duty in II. Marine Department, 2°. Harbours.",Shanghai,,,,,,,,
J. T. Pearson,British,1873 March,Clerk,1881 March,,,,Shanghai,Shanghai Unattached List,,,,,,,
F. W. E. Dülberg,German,1876 July,Clerk,1881 March,,,,Wenchow,,,,,,,,
A. J. Reeks,British,1873 February,Clerk,1881 April,,,,Shanghai,Shanghai Unattached List,,,,,,,
G. D. Poli,Italian,1877 March,Clerk,1881 April,,,,Shanghai,,,,,,,,
