name,nationality,first hired,1901 primary rank,1901 date promoted to primary,1901 secondary job,1901 date promoted to secondary,1901 other details,1901 location/last port,1901 on leave?,1906 primary rank,1906 date promoted to primary,1906 secondary job,1906 date promoted to secondary,1906 other details,1906 location/last port,1906 on leave?
M. C. Shirazee,Persian,1898 April,Third Class Tidewaiter,1898 September,,,,Foochow,,,,,,,,
H. Knight,British,1898 April,Third Class Tidewaiter,1898 September,,,,Foochow,,,,,,,,
W. J. Potter,British,1898 February,Third Class Tidewaiter,1898 September,,,,Kowloon,,,,,,,,
G. E. Bell,British,1898 April,Third Class Tidewaiter,1898 October,,,,Pakhoi,,,,,,,,
J. P. Jensen,Danish,1898 June,Third Class Tidewaiter,1898 November,,,,Wuhu,,,,,,,,
A. C. Thiel,German,1898 May,Third Class Tidewaiter,1898 November,,,,Kowloon,,,,,,,,
A. L. Demée,French,1894 November,Third Class Tidewaiter,1898 November,,,,Lungchow,,,,,,,,
F. Heilman,German,1898 May,Third Class Tidewaiter,1898 November,,,,Canton,,,,,,,,
W. Frederick,American,1898 June,Third Class Tidewaiter,1898 December,,,,Kiungchow,,,,,,,,
T. H. Smith,American,1898 June,Third Class Tidewaiter,1898 December,,,,Canton,,,,,,,,
A. A. Stubbs,British,1899 January,Third Class Tidewaiter,1899 January,,,,Chefoo,,,,,,,,
W. O. Pinkerton,American,1898 July,Third Class Tidewaiter,1899 January,,,,Shanghai,,,,,,,,
C. S. C. Davies,British,1897 April,Third Class Tidewaiter,1899 January,,,,Kowloon,,,,,,,,
M. W. Fraser,British,1898 June,Third Class Tidewaiter,1899 January,,,,Shanghai,,,,,,,,
V. Gaeta,Austrian,1898 July,Third Class Tidewaiter,1899 January,,,,Shanghai,,,,,,,,
D. Duncan,British,1898 July,Third Class Tidewaiter,1899 February,,,,Canton,,,,,,,,
J. G. Thomas,British,1898 August,Third Class Tidewaiter,1899 February,,,,Canton,,,,,,,,
J. Power,British,1898 August,Third Class Tidewaiter,1899 February,,,,Kowloon,,,,,,,,
H. Surplice,British,1898 August,Third Class Tidewaiter,1899 February,,,,Canton,,,,,,,,
